ticker,start_date,end_date
007160.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004560.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002100.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
016450.KS,2000-01-07 00:00:00+09:00,2024-12-11 00:00:00+09:00
000390.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005430.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003200.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008350.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000320.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
027970.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000050.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000860.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011330.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004250.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
012320.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
009580.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
007860.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
030210.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010955.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003650.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
008110.KS,2000-01-04 00:00:00+09:00,2024-12-10 00:00:00+09:00
000300.KS,2000-01-04 00:00:00+09:00,2024-12-10 00:00:00+09:00
001020.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
015890.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
010820.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
006490.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003610.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003830.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001750.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
002170.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
005950.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
011810.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
004970.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
020120.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
001360.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
015230.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
000970.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
003060.KS,2000-01-04 00:00:00+09:00,2024-12-11 00:00:00+09:00
