ticker,start_date,end_date
CTAS,1983-08-19 00:00:00-04:00,2024-12-10 00:00:00-05:00
CTBI,1987-12-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
CTHR,1997-11-14 00:00:00-05:00,2024-12-10 00:00:00-05:00
CTLP,1999-06-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
CTSH,1998-06-19 00:00:00-04:00,2024-12-10 00:00:00-05:00
CUBA,1994-05-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
CVBF,1983-04-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
CVV,1999-03-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
CWBC,1999-03-08 00:00:00-05:00,2024-12-10 00:00:00-05:00
CWCO,1995-01-25 00:00:00-05:00,2024-12-10 00:00:00-05:00
CWST,1997-10-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
CZFS,1999-01-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
CZNC,1994-04-05 00:00:00-04:00,2024-12-10 00:00:00-05:00
DAIO,1989-01-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
DAKT,1994-02-10 00:00:00-05:00,2024-12-10 00:00:00-05:00
DCOM,1999-01-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
DENN,1998-01-08 00:00:00-05:00,2024-12-10 00:00:00-05:00
DGICB,1986-10-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
DGII,1989-10-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
DHIL,1996-06-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
DIOD,1973-02-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
DJCO,1986-06-11 00:00:00-04:00,2024-12-10 00:00:00-05:00
DLHC,1986-05-29 00:00:00-04:00,2024-12-10 00:00:00-05:00
DLTR,1995-03-07 00:00:00-05:00,2024-12-10 00:00:00-05:00
DMRC,1999-12-02 00:00:00-05:00,2024-12-10 00:00:00-05:00
DOMH,1980-03-18 00:00:00-05:00,2024-12-10 00:00:00-05:00
DORM,1991-03-12 00:00:00-05:00,2024-12-10 00:00:00-05:00
DOX,1998-06-19 00:00:00-04:00,2024-12-10 00:00:00-05:00
